Unnamed: 0,sha,message,comment_count,date,total_deletions,total_additions,total,comments,additions,deletions,changes,status,filenames,name,fullname,private,fork,size,watchers_count,language,has_issues,has_downloads,has_wiki,forks_count,open_issues_count,forks,open_issues,watchers,network_count,type,admin,push,pull,label,owner,total_files
0,cba2407f4a86c0a040fe0473615f9987ab108b9c,Use github's new relative path format.,0,2013-01-31T04:46:46Z,3,2,5,[],[2],[3],[5],[u'modified'],[u'README.md'],stat-cookbook,mavam/stat-cookbook,False,False,188,298,R,True,True,True,41,0,41,0,298,41,User,False,False,True,bug,mavam,1
1,758a5bae6d25eb3f67a28537dd5c9c3db2648368,"Fix conditional variance of LS estimate.In 18.1, the equation of the conditional variance of beta hat lacked a squareoperation in the denominator.Moreover, at the end of 18.1, the statement about the estimator under theassumption or Normality now includes a more precise formulation.Contributed by Travis Walter.",0,2013-01-31T04:32:15Z,2,3,5,[],[3],[2],[5],[u'modified'],[u'cookbook.tex'],stat-cookbook,mavam/stat-cookbook,False,False,188,298,R,True,True,True,41,0,41,0,298,41,User,False,False,True,bug,mavam,1
2,7e5a9a426668b14b4fd22b227b54446185667649,Merge pull request #8 from cortex/masterShared sql connection functionality,0,2013-02-03T03:03:09Z,0,15,15,[],"[9, 6]","[0, 0]","[9, 6]","[u'modified', u'modified']","[u'R/sql.reader.R', u'man/sql.reader.Rd']",ProjectTemplate,johnmyleswhite/ProjectTemplate,False,False,240,194,R,True,True,True,27,2,27,2,194,27,User,False,False,True,,,2
3,3ea807b85160061d0f43dcf2f8bed5311da04edf,Integrate Mathieu Bryen's pull request.,0,2012-10-10T15:35:05Z,0,8,8,[],[8],[0],[8],[u'modified'],[u'CHANGES'],stat-cookbook,mavam/stat-cookbook,False,False,188,298,R,True,True,True,41,0,41,0,298,41,User,False,False,True,bug,mavam,1
4,15b3e5d8c552adbd5ee5da0aa0b029197fa3a69d,Merge branch 'master' of github.com:mavam/stat-cookbook,0,2012-10-10T15:32:28Z,1,1,2,[],[1],[1],[2],[u'modified'],[u'cookbook.tex'],stat-cookbook,mavam/stat-cookbook,False,False,188,298,R,True,True,True,41,0,41,0,298,41,User,False,False,True,bug,mavam,1
5,bcf66b6bd7e32f4f853e1762893307c4674eab29,Merge pull request #10 from cortex/mysql-utf8Use UTF-8 for mysql connections,0,2013-02-03T03:01:33Z,0,1,1,[],[1],[0],[1],[u'modified'],[u'R/sql.reader.R'],ProjectTemplate,johnmyleswhite/ProjectTemplate,False,False,240,194,R,True,True,True,27,2,27,2,194,27,User,False,False,True,,,1
6,2b8be0fbde43d58b6282271f2ceb5f15fcce40db,Merge branch 'mysql-utf8',0,2013-01-29T17:02:48Z,0,1,1,[],[1],[0],[1],[u'modified'],[u'R/sql.reader.R'],ProjectTemplate,johnmyleswhite/ProjectTemplate,False,False,240,194,R,True,True,True,27,2,27,2,194,27,User,False,False,True,,,1
7,1212b3e3d013f8a99385383bf0502e8e6e6b5185,Use UTF-8 for mysql connections,0,2013-01-29T17:02:15Z,0,1,1,[],[1],[0],[1],[u'modified'],[u'R/sql.reader.R'],ProjectTemplate,johnmyleswhite/ProjectTemplate,False,False,240,194,R,True,True,True,27,2,27,2,194,27,User,False,False,True,,,1
8,8047099afdfc5c973faa67a04f601a014de0fa73,Please find an active fork for this project if you want to contribute. This top-level repository is provided for reference only.,0,2012-04-08T02:29:18Z,0,2,2,[],[2],[0],[2],[u'modified'],[u'README.txt'],doom3.gpl,TTimo/doom3.gpl,False,False,236,3129,C++,False,True,False,803,3,803,3,3129,803,User,False,False,True,,,1
9,54619cf45e30da038a767949b7b0549ed2d791bb,"Merge pull request #2 from mathbruyen/patch-1Good catch on the balls and urns table, and thanks for sending along a fix.",0,2012-10-10T15:31:52Z,1,1,2,[],[1],[1],[2],[u'modified'],[u'cookbook.tex'],stat-cookbook,mavam/stat-cookbook,False,False,188,298,R,True,True,True,41,0,41,0,298,41,User,False,False,True,bug,mavam,1
